Unnamed: 0,Text,WallId,PostId,Source,Title,Price,Currency,Count,Label_gpt,Comment_gpt
0,"1. монитор, 250 лари
2. мольберт, 50 лари
3. топор 15 лари
4. трансмиттеры, 30 лари
5. лампы led,  диоды самсунг, 200 вт, 350 лари за обе
6. рюкзак, 40 литров, идеальное состояние, 100 лари",1332882905,686748,tg,"рюкзак, 40 литров, идеальное состояние",100,лари,1,valid,"The offer includes a backpack bundle that matches the description in count, price, and currency."
1,"#БНИ_ПродамБУ_Москва
#БНИ_ПродамНовая_Москва
#БНИ_Авито #БНИ_Почта #БНИ_Сберлогистика
#БНИ_fizximik

Все вопросы/предложения/Торг в лс. 
Кто не может написать через мобильную версию Вк - пишите через основную в браузере. 

22000 Wonderland War Deluxe. Вскрыта. 

35000 Fief Ks (база+здания+Саладин+лорды+промо+Плеймат)
Новые, в пленке. Лот бьется, в лс. 

60000 База (немецкая, Сандроп, в пленке)+Burgundy Terrain Sundrop+Acrylic Hexes (есть в пленке и без)+Плеймат. 
Вскрыт террейн: повреждена чуть крышка коробки.

26000 Street Fighter (база, стретчи, доп). В двух коробках

30000 Mosaic Colossus edition 

21000 Hoplomachus. Версия с предзаказа. Без пленки",-114967596,592027,vk,"Street Fighter (база, стретчи, доп)",26000,RUB,1,valid,"The offer clearly describes the bundle's contents, count, price, and currency, making it verifiable and understandable."
2,"Продам стульчик для кормления Happy baby. В хорошем состоянии. 
✅ съёмный поднос
✅ сетка для игрушек
✅ регулируемая спинка
✅ регулируемое сиденье по высоте
✅съёмный чехол для сиденья 
✅5-ти точечные ремни
Из минусов: сломана подножка.

Всё помыто и постирано. Готово к использованию. 

3 000 руб.

#детское",-82544098,661957,vk,Стульчик для кормления Happy baby,3000,RUB,1,valid,"The offer clearly describes a single feeding chair including its condition, features, and price, matching the bundle description."
3,"Продаю компьютер Цена 55000 Все почти новое ,есть чеки и коробки от комплектующих. Характеристики: ⚙️Материнская плата - GIGABYTE B450M H ⚙️Процессор - AMD Ryzen 5 3600 ⚙️Видеокарта - GIGABYTE RADEON RX 580 на 8 GB ⚙️Оперативная память - KINGSTON FYRY 16 GB (2x8GB) DDR4 2666 МГц ⚙️SSD Kingston 480 GB SSD GIGABYTE 120 GB ⚙️Блок питания - SYSTEM POWER 9 500W ⚙️Кулер для процессора - DeepCool ICE BLADE 100 ⚙️Корпус AeroCool с подстветкой Так же к компьютеру: - Монитор. Диагональ 27 «есть дефект ,полоса на экране , на работоспособность не влияет» - Игровая мышка от Logitech, игровая клавиатура MSI, наушники Logitech G435 , коврик и колонки - Продаю компьютер брата, по причине переезда",-90442795,353383,vk,Компьютер с комплектующими и аксессуарами,55000,RUB,1,valid,The offer clearly describes a computer with components and accessories bundled together for a specific price.
4,"Новинка сезона 
Качество очень хорошее 
Цена за шт 2000₽
Размер 50 52 54 56 58
Размер в размер идут
Подробнее на https://vk.com/wall488363770_23767",-192083416,15466,vk,Новинка сезона,2000,RUB,1,invalid,"The OFFER lacks detailed product information, requiring external context for verification."
5,"продам часы galaxy watch
покупали на амазоне, часам меньше года.
в очень хорошем состоянии 
в подарок стальной ремешок с замком бабочка 

200€",1121942433,119858,tg,часы galaxy watch с стальным ремешком,200,EUR,1,valid,The offer clearly describes the bundle including the Galaxy Watch with a steel strap at the stated price and currency.
6,"✅Ура Подушка  Лебеди  пух 
✅ткань тик 
✅Размер 70х70см цена за штуку 300
✅Размер 50х70см цена за штук 250
✅Размер 70х70 цена упаковка 2600 (10×260) 
✅Размер 50х70 цена упаковка 2300 (10×230) 
Рынок садовод ТЦ 2А-54 КОРПУС А
Тел 8 926 723 07 20
Подробнее на https://vk.com/wall488363770_23106",-192083416,14848,vk,Упаковка подушек Лебеди пух ткань тик 70х70см,2600,RUB,10,valid,"The offer clearly specifies a bundle of 10 pillows size 70x70cm with a price of 2600 RUB, matching the description."
7,"Личная встреча 
м. Речной вокзал
 
✔ Юстейн Гордер - Апельсиновая девушка ➤ 200
 ""Апельсиновая Девушка"" - это своеобразная книга в книге, ибо рассказ в ней ведут два человека. Мальчик Георг слышит голос своего отца спустя одиннадцать лет после его смерти... 
 
✔ Бенджамин Леберт – Crazy ➤ 200
В своем автобиографическом романе шестнадцатилетний Бенджамин Леберт с удивительной теплотой, большим чувством юмора и изрядной долей иронии рассказывает о трудностях взросления. Это первое произведение молодого автора.
 
✔ Януш Вишневский - Молекулы эмоций ➤ 100
 
✔ Фредерик Бегбедер - 99 франков ➤ 100
Книга «99 франков» представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы...
 
✔ Владимир Гиляровский - Москва и москвичи ➤ 100
✔ Шарлотта Роган - Шлюпка ➤ 200 Нечитанная",-48332904,746702,vk,Владимир Гиляровский - Москва и москвичи,100,RUB,1,valid,"The bundle matches the offer with clear details, including title, count, and price in the specified currency."
8,"Картридж для какого-то принтера: 500 рублей 

Весы с точностью +- 0.5 кг: 100 рублей

Забирать в 11ке",-177461486,40599,vk,Весы,100,RUB,1,valid,"The product bundle (Весы) is specified with clear details about the item, count, price, and currency."
9,"- кофеварка капельная, 300р или большая милка. - магнитола Mystery, светится разными цветами, 800р. - красные динамики 600р за оба. - советские динамики, 500р за штуку. - нч динамик под ремонт и запчасти за вашу цену. - телефон 500р. - подголовники ВАЗ 2115 500р. - аккумулятор 800р.",-90442795,350946,vk,телефон,500,RUB,1,valid,"The bundle includes a single 'телефон' with sufficient detail, matching the provided description and price."
10,"продам 

✨идеальные сандали-босоножки, (новые в фирменной коробочке) 
цвет сочетается со всем, на загорелых ножках вообще огонь, размер 37 - 60 лари (покупала за 110лари)

✨купальник в полоску marmelato трусики на завышенной стройнит (новый)- 25 лари (бандана и очки в подарок)

✨топ-блуза голубая love republic (новая) - 25 лари  

✨туфли-лодочки - 40 лари 
комфортная колодка и высока каблука, мягкие 

✨ костюм зеленым hm- 70 лари (состояние нового) платочек-бандана в подарок к костюму 

✨комбинезон низон черный на бретельках stradivarius (новый) - 50 лари (покупала за 119)

✨идеальное пляжное белое платье (новое) - 45 лари 

✨гуаша массажный роллеры для лица (новые) - по 10 лари

по воспросам пишите в личку😉",1332882905,571558,tg,туфли-лодочки,40,лари,1,valid,"The OFFER clearly specifies the product: туфли-лодочки, for 40 лари, making it possible to verify and understand the bundle."
11,"джинсы defacto, 36 размер, цена 35 лари. джинсы pull and bear (черные), размер 36, почти новые, цена 50 лари. сабуртало",1332882905,546624,tg,"джинсы pull and bear, черные, размер 36, почти новые",50,лари,1,valid,The OFFER matches the bundle description including product details and price.
12,"📍 air pods pro 
качественная реплика
совсем новые 
цена: 65 лари

📍 пылесос bosch 
 в хорошем состоянии
цена: 190 лари

📍 платье h&m 
размер: xs - s
цена: 25 лари

📍 пижама
размер: м 
цена: 25 лари

📍каблуки mango
размер: 39-40
цена: 55 лари

📍 кроссовки reserved 
на каучуковый подошве
размер: 39
цена: 50 лари

номер: 597 105 740",1332882905,784059,tg,пижама,25,GEL,1,valid,The offer matches the bundle description accurately.
13,"Метро Юго Западная 🌸
1). Кожаная сумка с карманом Reserved
Размер 20х14 см. Новая
Цена: 600₽
2). Нейлоновая сумка с брелоком
Размер 23х16 см. Новая
Цена: 300₽
3). Стёганая сумка Reserved
Размер 33х26 см. Новая
Цена: 800₽
4). Сумка-барсетка H&M
Размер 15х22 см. Новая
Цена: 400₽
5). Толстовка Befree
Размер XL. Новая
Цена: 800₽
6). Спортивные штаны/джоггеры Befree
Размер М. Новые
Цена: 800₽
7). Плиссированная юбка миди Reserved
Размер L. Новая
Цена: 800₽
8). Ботильоны под змеиную кожу 
Размер 39. В отличном состоянии 
Цена: 700₽
9). Зимний пуховик с накладными карманами Reserved 
Размер L. Новый
Цена: 2000₽",-48332904,734801,vk,Толстовка Befree,800,RUB,1,valid,The OFFER clearly lists a Befree hoodie with matching details in the bundle description.
14,"Сделаю билеты по скидке 

Партер 1000-2200р(в кассе 1600-3500) 
Бельэтаж 1000-1300(в кассе 1575-2115) 
Балкон 500-800(в кассе 800-1215) 
Вип партер 1800(в кассе 2690) 

С 26 декабря по 8 января",-96362008,196178,vk,Билет Партер,2200,RUB,1,valid,"The offer clearly specifies a 'Билет Партер' with a price and count, making it a valid bundle."
15,"Кoляска Anex 3 в 1, есть цaрапины  на раме, но в целом кoляска  в xoрошем состоянии, вся испpавна, чистая, есть сyмка, сетка,  накидка на  aвтолюльку. Коляcкa  мaневренная, хорошая  проходимость, удобная. 13 тысяч.",-82544098,650642,vk,"Коляска Anex 3 в 1, б/у",13000,RUB,1,valid,"The offer clearly describes the bundle, including condition and contents, making it possible to verify the product."
16,Планшет HUAWEI MatePad в хорошем состоянии 17000,-48332904,735665,vk,Планшет HUAWEI MatePad,17000,RUB,1,valid,"The offer clearly describes the bundle, including its count and price in the specified currency"
17,"продам портативную колонку sony, 50 евро, лимассол",1121942433,680715,tg,портативная колонка sony,50,EUR,1,valid,"The offer clearly specifies the product, count, price, and currency, allowing customers to understand and verify what is being sold."
18,"1. джинсы zara (34 размер) 40 лар
2. джинсы uniqlo xs/s (практически новые) 50 лар
3. брюки gate 31 40 лар
4. джинсы lime 30 лар
5. кардиган зара 100 лар
6. свитер h&m 40 лар
7. свитер 40 лар",1332882905,287568,tg,свитер h&m,40,лар,1,valid,The OFFER clearly specifies a single item matching the bundle description for purchase at the mentioned price and currency.
19,"1. шорты бежевые  (в жизни более тёплого цвета) из приятного лёгкого материала. носила пару раз. размер s (на бирке указан 36)
10 лари
2. кроссовки puma. размер 38, uk 5 (24 см). состояние 5-
50 лари
📍м. технический университет",1332882905,390083,tg,кроссовки Puma размер 38,50,GEL,1,valid,"The bundle exactly matches the described product, count, price, and currency."
20,"брюки roxy пляжного типа , размер l , на мой об 98-100 великоваты - теряю, поэтому почти не носила.
 - вискоза 100%
 - два кармашка боковых
 - талия сзади на резинке

🔸30 лари

📍 сабуртало",1332882905,744218,tg,"брюки roxy пляжного типа, размер L",30,GEL,1,valid,"The OFFER clearly describes the bundle including the type, size, condition, material, features, and the price in the specified currency."
21,"тумба под тв, отдам за 40 лари если заберете сегодня до 6 вечера, ваке",1332882905,740823,tg,тумба под тв,40,RUB,1,invalid,Currency mismatch between offer and product description.
22,"Москва. Бирюлево
Пражская
Пересыл

1. Пальто оверсайз L
1000р
2. Куртка L деми
1000р
3. Куртка S/M деми
500р
4. Пальто М деми
350р
5. Ветровка XXL
400р
6. Худи плюшевое М
700р
7. Свитер велюровый М
500р
8. Ветровка бомбер S
450р",-123125734,582086,vk,Ветровка XXL,400,RUB,1,valid,"The OFFER clearly specifies a bundle for a Ветровка XXL at the given price and count, matching the description provided."
23,"Продаю бу блузки и джемпер ( вещи были надеты всего один раз) . Первая блузка - Глория джинс , размер -м, вторая - фандэй, третий джемпер - киаби. Любая вещь -300 рублей , при покупке двух и более скидка !
Метро медведково",-48332904,740904,vk,Джемпер Киаби,300,RUB,1,valid,"The offer explicitly mentions 'Джемпер Киаби' with a specified price of 300 RUB, which matches the bundle description."
24,"платок кашемир новый 70 лари
все остальное по 15 (в отличном состоянии и новое)
рост 150-160",1332882905,846958,tg,платок кашемир новый,70,лари,1,valid,The offer clearly provides all necessary details for the described cashmere scarf bundle.
25,тостер margarit в хорошем состоянии. 15 евро. лимассол,1121942433,344456,tg,тостер margarit,15,EUR,1,valid,"The OFFER contains all necessary information: product type, brand, condition, quantity, price, and currency."
26,"1)юбка-шорты tommy hilfiger новая коллекция!
размер м
цена 125 лари💸
2)костюм zara
размер рубашка xs-s
брюки s
несколько раз одет.
цена 100 лари  💸
3)кроссовки calvin klein 
размер 37
1 раз обуты,мне малы.
следов носки нет,только грязная подошва.
цена 240 лари💸
4)кроссовки hugo boss
новые
размер 36
цена 390 лари 💸💸💸",1332882905,392884,tg,кроссовки hugo boss,390,GEL,1,valid,The offer clearly specifies a bundle matching the description.
27,"продаю спортивный костюм, в идеальном состоянии (без каких-либо зацепок/дырок/потертостей), одела пару раз. ткань легкая, комфортная, не просвечивает, размер s-m. леггинсы push-up.

70 лари (покупала за 130)",1332882905,516881,tg,"Спортивный костюм с леггинсы push-up, размер S-M",70,GEL,1,valid,"The offer clearly describes the bundle including a sports suit with push-up leggings in sizes S-M, for the specified price and currency."
28,журнальный столик 90×50. лимассол. цена 15 евро,1121942433,384726,tg,журнальный столик,15,EUR,1,valid,"The offer clearly matches the bundle description with identifiable product, count, price, and currency."
29,"брюки h&m. размер 30
состояние новых 

20 gel",1332882905,362856,tg,брюки h&m,20,GEL,1,valid,"The offer clearly specifies the bundle of one pair of H&M trousers, including size, condition, and price in the correct currency."
30,"ЗАО
Всё новое. Не разу не пользовались.. 
1) Сварочный аппарат 6500 руб
2) бензопила - 11000 руб",-48332904,733117,vk,Сварочный аппарат,6500,RUB,1,valid,"The offer clearly lists a single welding machine with price, satisfying the bundle requirements."
31,"#БНИ_ПродамБУ_Ставрополь
#БНИ_Авито 
#БНИ_Boxberry 
#БНИ_Почта

Продам игры :
1. Anno 1800 , состояние отличное, карты в протекторах, 1 партия. Цена 3000 руб.
2. Париж, состояние новой игры, не играна. Цена 2500 руб.
3. Бразилия +реалистичные ресурсы от holy tokens, карты в протекторах, состояние идеальное. Цена 4000
4. Rallyman gt со всеми дополнениями и дополнительным набором кубиков скорости, органайзер от mighty box, все карты в протекторах, состояние новой игры. Цена 10000руб.
5. Запретный город с дополнением panjun . Карты в протекторах, meeple house,состояние отличное . Цена 5000руб.
6. Шарлатаны с двумя дополнениями, органайзеры от meeple house, карты в проекторах, отличное состояние . Цена 6000руб. 
7. Келюс 1303 , не играна , состояние отличное. Цена 3000руб.
8. Glen more, издание от ravensburger, для ценителей классики. Цена 2500руб.
9. Серия западное королевство. Все коробки , металические монеты,плеймат, промо, биг боксы, которые были локализованы Лавкой Игр( архитекторы, виконты, паладины, летопись). Почти все карты в протекторах. Для архитекторов еще также  есть органайзер. Состояние отличное.Цена за всю коллекцию 16000руб.

Любые фото по запросу, при отправке Авито доставкой к стоимости лота прибавляю 5% стоимости( комиссия Авито). При покупке нескольких позиций сделаю скидку. Коробки от дополненийсохранились. При необходимости отправлю их тоже. По вопросам покупки желательно писать в личку!!!",-114967596,588365,vk,"Шарлатаны с двумя дополнениями, настольная игра",6000,RUB,1,valid,"The offer clearly specifies a bundle that matches the provided description including the title, count, price, and currency."
32,"Обувь для девочки р.26-27. Пакет 2200р. В подарок тапки и обувь для дачи. Дзфс, спасская, подчерково, в центре тоже бываю.

#БД_обувь",-82544098,649278,vk,Обувной набор для девочки,2200,RUB,1,valid,"The offer clearly defines a bundle of shoes for a girl, with a defined price and additional items included, matching the description."
33,"электрическая фондю. для мяса, сыра с вином, морепродуктов или шоколада с фруктами подойдет. 3 теромо режима. 20 евро лимасол. новая. не была в использовании",1121942433,692925,tg,электрическая фондю,20,EUR,1,valid,"The offer clearly specifies a single electric fondue set suitable for various foods, new and unused, offered at the specified price and currency."
34,"✅Ура Подушка  Лебеди  пух 
✅ткань тик 
✅Размер 70х70см цена за штуку 300
✅Размер 50х70см цена за штук 250
✅Размер 70х70 цена упаковка 2600 (10×260) 
✅Размер 50х70 цена упаковка 2300 (10×230) 
Рынок садовод ТЦ 2А-54 КОРПУС А
Тел 8 926 723 07 20
Подробнее на https://vk.com/wall488363770_23106",-192083416,14848,vk,Подушка Лебеди пух ткань тик 70х70см,300,RUB,1,valid,"The offer clearly specifies the bundle which matches the provided description in title, count, and price."
35,"• замшевые ботинки selected homme, eur 43 - 60gel
• шорты asics, m - 30 gel
• ремень vans, size 32 - 30 gel",1332882905,522980,tg,"ремень vans, size 32",30,GEL,1,valid,The offer clearly matches the bundle description with sufficient details.
36,"посудомойка gorenje
отдельно стоящая
легко подключается
вхшхг 84х44х59 см
600 лари",1332882905,735967,tg,посудомойка gorenje отдельно стоящая,600,GEL,1,valid,"The offer clearly states the product brand, type, and price."
37,"go fit resistance band + фиксатор для двери
30 евро",1121942433,107899,tg,go fit resistance band + фиксатор для двери,30,EUR,1,valid,"The offer clearly specifies the bundle's components and the price, making it easy to understand without additional context."
38,"#БНИ_ПродамБУ_Санкт_Петербург 
#БНИ_Boxberry
#БНИ_Авито 
#БНИ_mirry 

Анх+допы - 15 000р 
Castle Ravenloft - 6500р 
Ярость дракулы - 2500р 
Мор утопия - 2000р 
Замки безумного короля - 1500 версия польская, с обалденным артом тайлов. (см. комментарии) Правила есть в сети 
Д`артаньян и три мушкетера - 1000р 
 
Все игры в хорошем состоянии, доп фото по запросу.",-114967596,573043,vk,Castle Ravenloft,6500,RUB,1,valid,"The offer clearly specifies 'Castle Ravenloft' with a count of 1 for the price of 6500 RUB, matching the description."
39,"Продам холодильник, 6,5к
Забирать из тройки",-177461486,48121,vk,холодильник,6500,RUB,1,invalid,"The offer lacks specific details about the refrigerator, making it impossible to verify without additional context."
40,"книги простое рисование

очень-очень классные книги с кучей упражнений, чтобы почувствовать себя художницей, художником и творческой личностью. я планирую купить такие же, продаю чтобы не перевозить несколько раз

каждая по 45 лари

две за 80",1332882905,384044,tg,книги Простое рисование,80,GEL,2,valid,"The offer clearly outlines a bundle of 2 books named 'Простое рисование' for the price of 80 GEL, matching the description provided."
41,"1) фотоаппарат nikon d90 body + сумка, зарядка, usb, карта памяти 128гб, груша для чистки и пульт - 250 лари
2) объектив af-s nikkor 18-200 + светофильтр kenko uv 72mm - 400 лари 
3) вспышка speedlight sb-600  - 180 лари
ваке",1332882905,780252,tg,вспышка Speedlight SB-600,180,лари,1,valid,"The offer matches the provided bundle description exactly, including the title, count, and price in the specified currency."
42,"2 Черные рамки 200₽
2 Черные рамки с узорами 300₽
Золотая рамка 300₽
Белая рамка 200₽
Розовая новая 300₽
Метро Маяковская",-48332904,714551,vk,Черные рамки,200,RUB,2,valid,"The offer clearly specifies a bundle of 2 black frames for 200 RUB, matching the bundle description."
43,"набор ножей hauzer  немецкого производства
состояние: абсолютно новое
цена: 80, брал по 100
м.марджанишвили",1332882905,678574,tg,набор ножей hauzer немецкого производства,80,RUB,1,valid,The offer clearly matches the product description providing sufficient details about the bundle.
44,"натуральная кожа. грузинский дизайнер. размер 38-39. цена 90 лари. сабуртало (сити молл)
#обувькупить
чехол для очков rayban -15 лари",1332882905,450310,tg,чехол для очков rayban,15,GEL,1,valid,The offer clearly describes a single bundle of Ray-Ban glasses case for the specified price and currency.
45,"toyota aqua  гибрид 2017/12 1.5l 
mot 2024/08.
полный сервис был 2 недели назад  . 
налог дорожный до декабря 2022.
из фишек : слежение за полосой, автоматический свет , 
салон чистый. 
пробег 66500км 
цена 14100€ (цена обсуждается)
город : ларнака",1121942433,362222,tg,Toyota Aqua гибрид 2017 года,14100,€,1,valid,"The offer clearly describes a single bundle matching the title, count, price, and currency specified."
46,"Сандалии tapiboo 18 и 19 р, очень хорошее состояние, любые 500 р",-82544098,657370,vk,Сандалии tapiboo размеры 18 и 19,500,RUB,1,valid,"The offer clearly specifies a bundle that includes Tapiboo sandals in sizes 18 and 19, priced together at 500 RUB."
47,колонка harman kardon play go 900 лари( можно в другой валюте: евро доллары рубли),1332882905,633041,tg,колонка harman kardon play go,900,GEL,1,valid,"The offer clearly specifies the product bundle including the brand and model, count, and price in specified currency."
48,"продам два абсолютно новых халата, размер s-m, сшили на заказ, за оба халата 100 лари, живу в районе дидидигоми, пишите в личку!)",1332882905,783710,tg,"абсолютно новые халаты, сшитые на заказ",100,GEL,2,valid,"The offer clearly represents a bundle of 2 custom-made robes for 100 GEL, matching the description."
49,"#БНИ_продамБУ_Белгород
#БНИ_авито
#БНИ_почта
#БНИ_dzibeta

Argent the consortium - 2500 на английском отличное состояние , большие карты заклинаний в протекторах. 
 
Calimala - 1800
Игралась дважды.

Бестиарий сигилумма - 1900 
Коллекционное издание с дополнением новые земли, Брювусом, поролоновым органайзером. Игралась далеко за 100+, коробки в состоянии ниже среднего, компоненты на 4+, благодаря оргу и бережному отношению. 

Сделка с дьяволом - 3400
Игралась 2 раза. Промо есть.

Цветные сражения - 1000
Некоторые маркеры заменены, в целом состояние хорошее.

Империи две коробки - 4100
Легенды в пленке, классика игралась пару раз. 

Это безумное королевство - 1000
Игралось раз 5.

Запретный город - 1800
Приятное евро, игралась раза 3.

Отправка за счёт покупателя. Могу Авито, но не exmail. В целом готов к обмену, интересует:
- Проект Гайя
- Iberian gauge",-114967596,576788,vk,Это безумное королевство - настольная игра,1000,RUB,1,valid,The offer explicitly mentions the bundle 'Это безумное королевство - настольная игра' with specified count and price.
50,"Комбинезон Зима р 68 
Очень тёплый 
Ручки ножки закрываются, капюшон утягивается , есть мех  на капюшоне 
Малышке в нем тепло и комфортно !
Цена 1500 р
Дмитров лс

#БД_одежда #БД_детское",-82544098,658702,vk,Комбинезон Зима р 68,1500,RUB,1,valid,"The offer clearly describes a single bundle consisting of a winter jumpsuit in size 68, with its price and currency matching the description."
51,"Фанера влагостойкая ФК сорт 4/4. Размер листа 1525*1525 мм. В наличии толщина:
3 мм по 250 рублей за лист 
4 мм по 300 рублей за лист 
6 мм по 350 рублей за лист
9 мм по 450 рублей за лист 
10 мм по 500 рублей за лист
12 мм по 550 рублей за лист
15 мм по 650 рублей за лист
18 мм по 750 рублей за лист
21 мм по 850 рублей за лист
24 мм по 1000 рублей за лист
30 мм по 1300 рублей за лист 
Быстрая и не дорогая доставка. Распил. Звоните в наличии также фанера ФСФ (1.22*2.44), ламинированная фанера 
Фанера ФК – это материал многослойный, влагостойкий из лущеного шпона древесины проклеенного силиконовым клеем, имеет вид квадратного полотна. Водостойкость фанеры ФК немного занижена в связи с применением силиконового клея. В связи с этим использовать данный тип фанеры можно при отделке внутри помещений (стены, потолки, полы, производство мебели).",-96362008,199160,vk,Фанера влагостойкая ФК сорт 4/4 толщина 12 мм,550,RUB,1 лист,valid,"The offer clearly defines the price for a specific thickness of waterproof plywood, matching the description."
52,"набор пряжи, состав не знаю. 10 евро",1121942433,166810,tg,набор пряжи,10,EUR,1,invalid,"The offer lacks detailed composition of the yarn bundle, which is essential for understanding what is being purchased."
53,"🏡в связи с переездом продаем:
1)жилетка 10 лари;
2)стаканы 5 лари;
3)сумки на пояс по 5 лари;
4)фен- 100 лари;
5)чайник - 30 лари;
6)масло оливковое 15 лари;
7)подушка для беременных 60 лари;
8)нарды 50 лари
9)увлажнитель 80 лари;
10)матрас тонкий 20 лари.

📍сабуртало(ул.миндели)
☘️возможен торг☺️",1332882905,408231,tg,матрас тонкий,20,лари,1,valid,The OFFER clearly specifies the bundle including a 'матрас тонкий' for 20 лари.
54,"продаю вещи в хорошем состоянии, разгружаю гардероб.

все по 10 лари.
1. платье летнее s-m
2. юбка миди s-m
3. свитер, м
4. жилетка лимонного цвета, м
5. кожаная юбка почти новая, м
6. укороченная кофта м
7. черные джинсы узкие м
8. рубашка винтаж оверсайз

тбилиси, м. делиси (либо по договоренности) больше фото вещей в лс.",1332882905,837880,tg,"жилетка лимонного цвета, размер м",10,GEL,1,valid,"The offer clearly specifies the 'lemon-colored vest, size M' including its price, making it possible to understand and verify the product."
