,Text,Id
0,"деревянная статуэтка 4000 рублей
игра 400 рублей 
кеды 36 размера 1500 рублей","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7467}"
1,"автокресло britax romer от 6 месяцев до 9 лет  -10.000

isofix, спинка наколняется , ремни все сохранились. постиран чехол. (покупали за 35.000, все супер, после 1го ребенка) 

самовывоз привольная","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7464}"
2,"перчатки christian dior кожаные 8500
(на одной перчатке зацепка, носке не мешает) 

привольная","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7460}"
3,"сервиз чайная роза гдр -5500, 
кофейный сервиз 1800 гдр 

самовывоз привольная.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7455}"
4,"сумка moschino винтаж -20.000 

забирать на привольной","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7454}"
5,"продам телевизор mystery, модель mtv-1922lw. жк, 720p hd, диагональ 19"" (48 см), hdmi, usb, тип подсветки edge led, есть не значительный дефект в правом нижнем углу в виде темного пятна, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7453}"
6,"шапка-шлем мужская finn flare.
материал: натуральная овчина. 
отделка: искусственная кожа.
производство: финляндия.
размер по ярлыку: 58 (xxl).
в отличном состоянии.
цена 5000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7447}"
7,"парфюм мужской parfums genty.
производство: россия.
men's fashion black label
100 ml
флакон новый, запечатанный.
в торговой продаже отсутствуют, так как сняты с производства.
цена 1000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7443}"
8,"1. «искусство древнего мира». дмитриева н.а., виноградова н.а.
издание 2-ое. 
детская литература, москва, 1989.
очерки о первобытном искусстве, искусстве древнего египта, передней азии, древней индии и древнего китая. 
цена 1000 руб.
2. «история петра великого» а.с.чистяков. 
репринтное издание. 
москва, 1989. 
язык издания: старорусский. цена 1500 руб.
3. «лососи, бобры, каланы» жак-ив кусто и ив паккале. 
гидрометеоиздат, ленинград, 1983. 
напечатана в праге.
цена 1500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7437}"
9,"«лососи, бобры, каланы».
книга жака-ива кусто и ива паккале. 
«лососи, бобры, каланы». 
издательство: гидрометеоиздат, ленинград, 1983. 
твердый переплет, увеличенный формат, мелованная бумага, 285 стр.
напечатана в праге.
букинистическое издание.
в отличном состоянии.
цена 1500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7430}"
10,"перчатки женские трикотажные новые.
производство: россия.
материал: трикотаж с начёсом внутри.
состав: 70% хлопок, 30% акрил.
отделка бисером, защипами.
цвет: черный.
размер: 8,5.
новые, с бирками.
в отличном состоянии.
цена 500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7428}"
11,"игрушки ручной работы , новые 
2в1 пижамница мишка 1490
пчелка 1990
балаклавы 1299
гномы 1799","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7427}"
12,"автомобильный держатель deppa crab mini для смартфонов 3.5""-5.7"", на стекло или приборную панель, для смартфонов с диагональю экрана от 3.5 до 5.7 дюймов (ширина корпуса до 8 см)
раздвижная часть держателя от 5 см до 8 см
присоска ø5,8 см
возможность поворота вашего устройства на 360°, 300₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7418}"
13,"гладильная доска с euro подставкой под утюг и съемным подрукавником, встроенной розеткой и электросоединителем 2,15м, два положения высоты 70/85см, поверхность 1225х345мм, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7416}"
14,"роутер tp-link n300, 500₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7415}"
15,"продам телевизор supra, модель: stv-lc2222wd, жк, 1080p full hd, диагональ 22"" (55 см), hdmi, usb, 3000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7414}"
16,"продаю новогодний венок, 35 см, полностью ручная работа 
2600 р
есть петля для крепления на стену или дверь
писать в личные сообщения @paradofcon","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7410}"
17,"новый 1,5 спальный комплект постельного белья, сатин, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7408}"
18,"новый двух спальный комплект постельного белья, полисатин, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7406}"
19,"новый двух спальный комплект постельного белья, бязь, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7403}"
20,"сумка бежевая 2в1 38 х 32 см

б/у немного, состояние огонь)
единственный нюанс: маленькая дырочка на подкладке у молнии
вроде натуральная кожа
можно носить двумя способами, а также через плечо как кроссбоди
очень красивая, качественная и функциональная сумочка 👍🏼
разгребаю гардероб, много сумок в наличии 🌸

1450р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7397}"
21,"капор капюшон из меха норки, шикарный, новый. с утепленной подкладкой ( тк вязаная норка продувается) , пришит теплый капюшон, при желание его легко отпороть. 5000руб. москва. новые черемушки.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7392}"
22,"сумка молочного цвета кожзам шопер тоут 30 х 30 см

не б/у, подклад новый, даже замочек не раскрыт. нюансы:
-на ручках потёрта заливка у основания (сумка лежит уже года 4, ждёт хозяйку)
-на дне есть мало заметные розовые пятна
разгребаю гардероб, много сумок отдаю за копейки🌸

900р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7385}"
23,"новая хлопковая скатерть, размер 195*155 см, 700 руб, самовывоз по адресу судостроительная улица 10к2 (7 мин от метро коломенская) или отправлю авито доставкой (первые три стоят 49 руб)","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7384}"
24,"рюкзак серебристый с заклепками б/у 24 х 22 см

протерлась краска на спинке и немного на углах - нужна серебряная краска и будет как новый
носила аккуратно, подклад чистый
очень стильный, по запросу сделаю еще фото/видео 👌🏼
разгребаю гардероб, много сумок отдаю за копейки🌸

400р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7379}"
25,"набор полотенец из 3 шт размеры 30*50, 50*90, 70*140. 6 разных цветов. цена 1350.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7378}"
26,"норковая шапка. 1400 руб. сосенский стан,3","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7375}"
27,"два в одном . пижамница и игрушка. ручная работа, новая 
цена 1490","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7370}"
28,"картина ""лунная ночь"".
ориентировочно 2000-2010 гг.
масло, холст на подрамнике.
размеры 250*350 мм.
в отличном состоянии.
цена 6 тыс.руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7367}"
29,"шапка-ушанка новая каляев.
материал: натуральная кожа, натуральный мех (енот).
производство: россия, каляев.
размер: 58-59-60 (по ярлыку).
есть утяжка сзади.
новая, в отличном состоянии.
цена 6000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7364}"
30,"шапка-ушанка новая.
материал: натуральная овчина, натуральная кожа.
производство: россия.
размер ориентировочно: 57-58 (xxl).
есть утяжка сзади 
новая, в отличном состоянии.
цена 4000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7359}"
31,"массажер для ног bosch pmf 2232. 
новый, в оригинальной упаковке (с документами).
режим: турбомассаж, пузырьковый и вибрационный массаж.
2 съемных массажных ролика.
3 насадки: щетка, пемза, массажные ролики.
возможность использования трав и солей.
удобное управление посредством клавиш обеспечивает возможность разнообразных комбинаций.
инфракрасный тепловой источник.
подогрев воды.
размер упаковки (вшд): 36*20*44 см. 
вес: 1,5 кг.
куплен в подарок, ни разу не использовался. 
цена 5 тыс.руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7354}"
32,"набор чайных ложек дубок зiд.
материал: мельхиор посеребренный (24 мкр).
производство: ссср, завод имени дзержинского, киев, украина, 50-е гг.
в отличном состоянии.
без утрат серебряного покрытия.
в аутентичном футляре.
цена 2500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7349}"
33,"""мой дом на колесах"" наталья дурова.
издательство: детская литература, москва, 1993.
мягкий переплет, уменьшенный формат, 224 стр.
с автографом автора - натальи юрьевны дуровой, представительницы славной династии дрессировщиков дуровых, основательницы и бессменного руководителя уголка дедушки дурова.
дарственная надпись и автограф проставлены в 2003 г.
букинистическое издание.
в отличном состоянии.
цена 3000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7342}"
34,"плюшевая мягкая маленькая сумочка на плечо 22 х 12 см коричневая
новая, отлично сочетается с шубой

разгребаю гардероб, много сумок отдаю за копейки🌸

500р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7337}"
35,"продаю две ёлочки, 30 см, полностью ручная работа
по 1500 р
писать в личные сообщения @paradofcon","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7331}"
36,"бесформенная большая сумка в клетку тканевая 40 х 24 см
в отличном состоянии! б/у 1 раз 

без дефектов, выдержит большой груз за счёт толстого ремня) 
очень лёгкая по весу, не мнётся, незаменимая вещь в поездке
разгребаю гардероб, много сумок отдаю за копейки 🙌🏼🌸

400р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7325}"
37,"два в одном пижамница и игрушка
оригинальный и необычный подарок
ручная работа, новый
цена 1490","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7320}"
38,"сумка бежевая на плечо carpisa тоут шопер б/у 43 х 30 х 13 см

состояние на фото, по запросу сделаю еще 📸
прочные ручки, носила в ней макбук. вместительная, качественная 👍🏼 зимой на пуховик /шубу носить удобно, залезает)
-есть незначительные следы времени, незаметные при носке
разгребаю гардероб, много сумок отдаю за копейки 🙌🏼🌸

700р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7314}"
39,"модульная картина. 800 руб. сосенский стан,3","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7312}"
40,"подставка для цветов, на 9 горшков. 2100 руб. сосенский стан,3","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7310}"
41,"модульная картина укутанный котёнок 

параметры всей композиции 77х120 см
провисела несколько лет в детской, стоила около 5к, состояние отличное
обработана сверху текстурным гелем

700р
полежаевская","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7307}"
42,"новогодний венок
полностью ручная работа, 35 см, есть крепление на стену
3000 р
писать в личные сообщения","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7301}"
43,"сумка белая немецкая justfab кроссбоди с жемчугом б/у

23,5 х 15 х 9 см
увесистая цепь из металла, не окислилась, не красит, не цепляет волосы
минусы на фото (окрасилась, потёрт замочек, внутри кармашек)
аккуратная, но очень вместительная 
разгребаю гардероб, много сумок отдаю за копейки🌸

350р
полежаевская / отправка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7295}"
44,игра монополия в отличном состоянии. 1500₽,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7291}"
45,"продается прилесной участок в коттеджном поселке бортневские дачи. 39 км от мкад по ярославскому шоссе. общая площадь 26 сот. + 5 соток с ограничением
участок с ровным ландшафтом, сухой, готовый к сделке и к строительству дома,  в отдалении от трассы. 
2 900 000р. от собственника.

в поселке проложены имеются основные коммуникации: электричество(15 квт на домовладение), магистральный газ в 2023г, 
сети для скоростного интернета, вьезд через шлагбаум, охрана, круглосуточная дежурная инженерная служба

основные преимущества:
        лес с двух сторон поселка;
 детские площадки;
 удобная транспортная доступность;
        поселок обслуживается;
        активные адекватные соседи;
        в 2 км есть вся городская инфраструктура в поселке софрино-1;
        хорошая доступность общественным транспортом, прямые маршрутки до жд ст. софрино и зеленоградская;
        практически все участки проданы и заселяются.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7289}"
46,"ручная работа , новые , отличная идея для подарка🎁
пчелка 1990р
балаклавы 1299р
игрушки 1799 р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7281}"
47,"сумка белая на красных прочных ручках
б/у раз 5, хорошее состояние, есть минус:
-при хранении окрасилась о другую сумку, появились темные пятна на задней части (у меня нет белой краски закрасить)
параметры 32,5х 23,5х 14 см
есть внутренний карман

500р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7275}"
48,"новые новогодние гобеленовые  салфетки на стол (размер 45*32 см)+шапка деда мороза в подарок (новая). за все 500 руб, забирать по адресу судостроительная улица 10к2 (7 минут пешком от метро коломенская) или авито доставка (первые три доставки стоят 49 руб)","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7274}"
49,"саундбар самсунг а650
одна из топовых моделей с центральным каналом для четкости диалогов при просмотре тв и фильмов
куплен 28 ноября 
установил и понял что для текущей комнаты он великоват и излишне мощный 
25 000 р
новые 30-34","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7273}"
50,"люстра
отличное состояние 
не подошла к интерьеру

1 400 рублей 
михайлова 30а, к4, под.1","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7269}"
51,"одеяло в отличном состоянии.
197 см х 137 см.
=990 р
москва (строгино) или пересыл. 

* еще есть постельное белье ikea (gaspa и alvine stro и не только. срочная семейная распродажа👗👠👕👖💍💄💊📚🪑🛋📺📚🎾...","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7266}"
52,"консоль xbox 360 одна из первых ревизий на запчасти, состояние видно на фото. 
три красных огня. 
дисковод есть работает хорошо (открывается/закрывается)
продаётся просто тушка!
цена: 1800р.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7260}"
53,"интерьерная настенная навесная полка-вешалка с крючками в классическом стиле.
подойдет для любого помещения: в кухню для полотенец и тп, для одежды в прихожую в качестве вешалки, в комнату.
качетство на высоте.
длина 45 см, высота 29 см.
с креплениями для монтажа на стену.
в отличном состоянии.
=1500
москва (строгино) или пересыл 

*  есть еще много всего. срочная семейная распродажа👗👠👕👖💍💄💊📚🪑🛋📺📚🎾...","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7259}"
54,"продам ноутбук hp-g7 1080er.17.3 дюйма экран, звук хороший, процессор i3 2.5 потока. корпус целый,петли тоже,есть царапины .по работе нареканий нету.тянет какие-то старенькие игры, можно смотреть кино, больше для работы использовался.пыли нет, термо паста заменена.1 минус- аккумулятор плохой. могу отправить почтой. в ремонте не был.все вопросы в лс
цена:9800","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7256}"
55,"постельное белье ikea. качество🔥 приобреталось как гостевое и использовалось по 1 разу, в идеальном состоянии. 

gaspa (гэспа) из премиального мягкого и приятного на ощупь хлопчатобумажного сатина с блеском в стильном темно-сером стальном цвете:
- пододеяльник с потайной застежкой 200 х 200 см, 1 шт. =3500 р;
- наволочки 50 х 70 см, 2 шт = по 499 р за 1 шт. 

gaspa (гэспа) из премиального мягкого и приятного на ощупь хлопчатобумажного сатина с блеском в благородном коричневом цвете:
- натяжная простыня на резинке 90 х 200 см, 1 шт. = 1500 р;
- простыня 150 х 260 см, 1 шт. = 1500 р. 

комплект alvene stra (альвине стро) из гладкого, мягкого и приятного на ощупь чесаного хлопка с декоративной прострочкой в красивом шоколадном цвете:
- пододеяльник с потайной застежкой 150 х 200 см, 1 шт. =1990 р;
- наволочка 50 х 70 см, 1 шт. = 499 р. 

москва (строгино) или пересыл.
* еще есть одеяло и много всего другого. срочная семейная распродажа👗👠👕👖💍💄💊📚🪑🛋📺📚🎾...","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7251}"
56,продам коконы 2-местные до 400кг (15тыс),"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7249}"
57,"друзья. продаю новый оригинальный рюкзак guess с биркой в упаковке. 
размер: 30/40/12
цена: 9890","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7241}"
58,саженцы малины летней и ремонтантный 250 рублей. 89067356444,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7240}"
59,"солнцезащитные очки розовые

новые! очень красивые и качественные 😻
куплены недавно (в 2022г), упаковка и наклейка сохранена
металлические дужки в форме цепи

1000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7231}"
60,"продаю новогоднюю ёлочку, 26 см, полностью ручная работа
1200 р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7227}"
61,"продаю цветок женское счастье/спатифиллум.
очень пушистый, кустистый. 
цена: 550р.

есть разных размеров спатифиллумы, отростки прижившиеся от 100р. до 550р.
пишите фото вышлю.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7221}"
62,"добрый день.
продаю айфон xr 64gb
телефон в хорошем состояния использовался 2 года . продаю , по причине покупке новой модели . состояния 10/10 . возникнут вопросы жду в личные сообщения
обоснованный торг
цена 14.500","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7217}"
63,"сумка синяя под змею с цепью stella mccartney 25х21х11см

очень красивая, удобная и вместительная 🔝
б/у 2 выхода
разгребаю гардероб 🫶🏼

1500р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7214}"
64,"торг, товар в отличном состоянии - ребенку не понадобился. использовался раз 10 максимум. коробки нет - выкинули + в подарок вкладыш для новорождённых, встреча метро котельники или мо раменский район (18.000р)","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7213}"
65,"новые 
по 400","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7208}"
66,видеокарта palit 3080ti на 12 gb цена 35 000. нужно для сборки нового пк. территориально нахожусь в волгограде,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7206}"
67,"продам сумку, хорошая люкс копия. 4000р. 89295616822","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7202}"
68,по 400 рублей . новые,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7197}"
69,"новогодняя ёлочка, ручная работа, 25 см
1500 р.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7191}"
70,"советские елочные игрушки, в тч на прищепках и наклейка на стекло.
=от 100р
москва (строгино) или пересыл

*  есть еще много всего. срочная семейная распродажа👗👠👕👖💍💄💊📚🪑🛋📺📚🎾...","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7190}"
71,"новая желтая маленькая сумка на цепочке кроссбоди

не бу, но есть минус
-металл окислился за несколько лет на застежке
параметры:
длина сверху 14,5 см
цепь добротная, тяжелая на плечо или через плечо - 122 см

продаю, так как айфон 12про с чехлом пролазит с трудом 🥹

400р
полежаевская / авито доставка","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7183}"
72,"#продаю практически новый диван морфей-2 мини
мебельная фабрика мануфактура уюта 
состояние дивана идеальное
размер ш232×г100×в95 
спальное место 100×200
механизм выкатной
блок независимых пружин фирменный матрас 
""мануфактура уюта""
ткань arben opera бархат велюр
подъёмный механизм гидравлический
подлокотники с ящиками 
подушки на подъемных опорах 
ящик для белья большой с вентиляцией
новый диван продаётся за 156тр. 
я отдаю за 50тр. 
ссылка на видео о диване:","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7182}"
73,"балаклавы ручной работы , новые . цена 1299р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7176}"
74,"новогодний гномик , отличная идея для подарка 🎁 можно использовать как декор или играть . новый , ручная работа . цена 1799р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7171}"
75,"шведская стенка (+кольца, канат,качели) в идеальном состоянии, впишется в любой интерьер. цена 4000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7167}"
76,"добрый вечер)
продаю айфон x в отличном состоянии, по бокам небольшие царапины есть, а так все отлично работает 👍🏼
продаю срочно , цена без торга 13500₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7163}"
77,350₽ в отличном состоянии.,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7162}"
78,"рюкзак женский. удобный и вместительный. внутри тоже есть кармашек. 
цена 2000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7159}"
79,"стульчик для кормления chicco polly magic 0+  
4000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7154}"
80,byredo bal d’afrique - 6000р,"{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7152}"
81,"tiffany&co - 6000р
my way - 5000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7151}"
82,"молекула

цена 5500р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7150}"
83,"tom ford 

цена 6000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7149}"
84,"chanel allure home

цена 5000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7148}"
85,"bleu de chanel 

цена 5000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7147}"
86,"chanel chance 

цена: 5000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7146}"
87,"black opium 

упаковка вскрыта, но они новые!!

цена 5000","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7144}"
88,"dior sauvage 
они новые!!!

цена 5000р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7143}"
89,"🔥продам ремень dsquared²🔥, родной, италия, кожа, размер м, по длине 78 см, но за счёт деталей длина увеличивается, детали отсоединяются.ремень в идеальном состоянии,фурнитура вся на месте, очень крутой, стильный. новый стоит от 30.000р и выше.
🌺цена всего - 2500р
пишите,пожалуйста,в личку.
пересыл в любой город.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7135}"
90,"подвески серебряные роза с фианитом и узор.
производство: россия. 
материал: серебро, проба 925, фианит.
размеры:
1. роза с фианитом - 9*10 мм.
2. узор - 5*10 мм.
новые, в упаковке, в отличном состоянии.
в наличии несколько экземпляров.
цена за 1 шт. 500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7130}"
91,"""чтобы ты остался евреем"".
удивительная жизнь святого человека рава ицхака зильбера во время нашей недавней истории. вся система обернулась против него – он бежал, он сидел, он страдал, но всегда и везде он оставался верен себе, своей традиции, своему б-гу, следуя завету своего отца: «чтобы ты остался евреем, соблюдающим тору!». в самых тяжёлых жизненных ситуациях он не только сохранял оптимизм и умудрялся заряжать им других, но и готов был протянуть руку помощи ближнему и поделиться последним, что у него было. 
уже в израиле рав ицхак зильбер стал признанным лидером русскоязычного еврейства, преподавая тору, воодушевляя и мотивируя людей возвращаться к своим корням, помогая несчётному количеству нуждающихся. его многочисленные ученики сегодня являются лидерами еврейских общин и организаций по всему миру, помогая людям оставаться евреями.
цена 1500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7129}"
92,"1. клатч лаковый.
производство: ссср, 70-80 гг.
материал: искусственная лаковая кожа, ткань, металл (не окисляется).
размер: 305*110*30 мм.
насыщенный черный цвет. фурнитура ""под серебро"".
застежка: магнитная кнопка.
жесткая форма.
винтаж.
в очень хорошем состоянии.
цена 2 тыс.руб.
2. сумка женская с двумя ручками.
материал: качественная мягкая искусственная кожа.
цвет: бордо.
привезена из чехии.
размер 34*22*10 см.
длина ручек: 58 см.
два отделения, закрывающихся на молнии.
винтаж, 90-00 гг.
новая, в отличном состоянии.
цена 3 тыс.руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7123}"
93,"папильотки henkel cosmetic.
дюссельдорф - вена - базель.
производство: германия, 60-70 гг.
для химзавивки.
внутри папильоток металлический гибкий сердечник.
в комплекте специальная папиросная бумага для локонов.
в отличном состоянии.
цена 3 тыс.руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7119}"
94,"бусы из кварца.
производство: ссср, 60-70 гг.
длина бус 45 см. 
бусы тяжёлые, массивные.
в отличном состоянии.
цена 4 тыс.руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7118}"
95,"балаклавы новые , ручная работа . цена 1299р . могу связать в любом цвете . отлично на подарок 🎁","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7112}"
96,"вазы маленькие 19 см,высокая 25 см,поднос из нержавеющей стали 34 на 25 см. вазы без сколов. продаю только все вместе за 700 руб, самовывоз 5 минут пешком от метро коломенская","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7111}"
97,"гномик ручной работы , новый . цена 1799р","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7108}"
98,"советская посуда в хорошем состоянии, все б/у, только все вместе за 500 руб, судостроительная улица 10к2 (5 минут пешком от метро коломенская)","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7107}"
99,"продаю два билета на завтра 26 ноября на выставку-реконструкцию «терракотовая армия китая». 
заболели и не можем пойти сами! 
850 р за билет (вместо 1250)","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7106}"
